Facility Name,Facility Type,Thermal capacity (MWth),Reference Unit Power (MWe),Thermal efficiency % ,T Gaseous Release in 2021 (Ci),T Liquid Release in 2021 (Ci),T Gaseous Release in 2020 (Ci),T Liquid Release in 2020 (Ci),T Gaseous Release in 2019 (Ci),T Liquid Release in 2019 (Ci),T Gaseous Release in 2018 (Ci),T Liquid Release in 2018 (Ci),T Gaseous Release in 2017 (Ci),T Liquid Release in 2017 (Ci),T Gaseous Release in 2016 (Ci),T Liquid Release in 2016 (Ci),2021 Generation (MWh),2020 Generation (MWh),2019 Generation (MWh),2018 Generation (MWh),2017 Generation (MWh),2016 Generation (MWh),First Grid Connection,State,Model,Containment Types,Reactor Type,BWR Type,Number of Loops,Mark,Freshwater (F) or saltwater (S)? ,nickname,Plant ID,Cooling Type,Add in flow basis stuff
Catawba 2,PWR,3411,1150,33.71445324,127,578,94.9,0,94.8,362,97.9,449,94.8,423,95.5,427,9014422,10121151,9343862,9269228,10177378,9315899,1986,SC,W (4-loop) (ICECND),ICECND,W,N/A,4,N/A,F,CT2,13,RI,
Comanche Peak 1,PWR,3612,1215,33.63787375,16.6,918,11.1,1370,12.5,607,16.3,1060,17.2,1260,17.6,693,10528185,9781846,9441530,10656299,9736838,9779621,1990,TX,W (4-loop) DRYAMB,DRYAMB,W,N/A,4,N/A,F,CP1,14,RC,
Comanche Peak 2,PWR,3612,1245,34.46843854,16.6,918,11.1,1370,12.5,607,16.3,1060,17.2,1260,17.6,693,8828068,9698102,9863180,9841808,7263087,10605521,1993,TX,W (4-loop) DRYAMB,DRYAMB,W,N/A,4,N/A,F,CP2,15,RC,
Cook 1,PWR,3304,1030,31.17433414,36.8,515,43.2,1320,53.4,1350,44.9,743,43.7,1130,63,1170,9110067,8303660,7342390,9299538,7261139,8311745,1975,MI,W (4-loop) ICECDN,ICECND,W,N/A,4,N/A,F,CK1,16,ON,
Cook 2,PWR,3468,1168,33.67935409,36.8,515,43.2,1320,53.4,1350,44.9,743,43.7,1130,63,1170,8843917,9962985,8815458,8311274,10330862,7048018,1978,MI,W (4-loop) ICECND,ICECND,W,N/A,4,N/A,F,CK2,17,ON,
Davis-Besse,PWR,2817,894,31.73588924,24.3,993,31.5,204,31.4,999,40.2,261,38.4,707,53.1,573,7779141,7228063,7837459,7380271,7875413,6394136,1977,OH,B&W; (R-loop),DRYAMB,B&W,N/A,2,N/A,F,DB1,18,RN,
Diablo Canyon 1,PWR,3411,1138,33.36265025,17.4,539,21.8,1390,36.6,1110,39.8,1060,39.5,955,36.9,689,9854372,8910575,8842395,9703806,8192681,9969493,1984,CA,W (4-loop),DRYAMB,W,N/A,4,N/A,S,DC1,19,ON,
Diablo Canyon 2,PWR,3411,1118,32.77631193,17.4,539,21.8,1390,36.6,1110,39.8,1060,39.5,955,36.9,689,6622994,7348123,7322989,8509713,9708398,8938085,1985,CA,W (4-loop),DRYAMB,W,N/A,4,N/A,S,DC2,20,ON,
Farley 1,PWR,2775,874,31.4954955,11,536,15.8,529,14.1,714,16,843,21.3,555,13.9,546,7114415,7802415,7003194,6409664,7750066,6672996,1977,AL,W (3-loop),DRYAMB,W,N/A,3,N/A,F,FA1,21,RI,
Farley 2,PWR,2775,883,31.81981982,14.8,396,17.5,730,11.7,707,44.7,740,17.9,702,8.37,610,7868522,6973382,7133768,7655382,7054028,7014260,1981,AL,W (3-loop) DRYAMB,DRYAMB,W,N/A,3,N/A,F,FA2,22,RI,
